
Crop,Phase,Stage,Topic,SubTopic,Content
Arecanut,Juvenile Phase (1-4 years),Young Palm Stage,pest,management,Apply Dimethoate
Arecanut,Juvenile Phase (1-4 years),Young Palm Stage,pest,management,Apply Thiamethoxam
Arecanut,Juvenile Phase (1-4 years),Young Palm Stage,pest,factors,High humidity
Arecanut,Juvenile Phase (1-4 years),Young Palm Stage,pest,factors,Moisture stress
Arecanut,Bearing Stage (5+ years),Flowering and Nut Stage,pest,types,Inflorescence caterpillar
Arecanut,Bearing Stage (5+ years),Flowering and Nut Stage,pest,types,Pentatomid bug
Arecanut,Bearing Stage (5+ years),Flowering and Nut Stage,pest,types,Mites
Arecanut,Bearing Stage (5+ years),Flowering and Nut Stage,pest,types,Root grub
Arecanut,Bearing Stage (5+ years),Flowering and Nut Stage,disease,types,Fruit rot
Arecanut,Bearing Stage (5+ years),Flowering and Nut Stage,disease,types,Bud rot
Arecanut,Bearing Stage (5+ years),Flowering and Nut Stage,disease,types,Inflorescence die back
Arecanut,Bearing Stage (5+ years),Flowering and Nut Stage,disease,types,Stem bleeding
Arecanut,Bearing Stage (5+ years),Flowering and Nut Stage,pest,management,Remove damaged inflorescences
Arecanut,Bearing Stage (5+ years),Flowering and Nut Stage,pest,management,Apply Malathion
Arecanut,Bearing Stage (5+ years),Flowering and Nut Stage,pest,management,Apply neem oil
Arecanut,Bearing Stage (5+ years),Flowering and Nut Stage,pest,management,Apply sulfur acaricide
Arecanut,Bearing Stage (5+ years),Flowering and Nut Stage,disease,management,Apply Bordeaux mixture
Arecanut,Bearing Stage (5+ years),Flowering and Nut Stage,disease,management,Apply Copper oxychloride
Arecanut,Bearing Stage (5+ years),Flowering and Nut Stage,disease,management,Apply Carbendazim
Arecanut,Bearing Stage (5+ years),Flowering and Nut Stage,disease,management,Remove infected plant parts
Arecanut,Bearing Stage (5+ years),Flowering and Nut Stage,pest,factors,High humidity
Arecanut,Bearing Stage (5+ years),Flowering and Nut Stage,pest,factors,Dry conditions
Arecanut,Bearing Stage (5+ years),Flowering and Nut Stage,pest,factors,Presence of alternate hosts
Arecanut,Bearing Stage (5+ years),Flowering and Nut Stage,disease,factors,Heavy rainfall
Arecanut,Bearing Stage (5+ years),Flowering and Nut Stage,disease,factors,High humidity
Arecanut,Bearing Stage (5+ years),Flowering and Nut Stage,disease,factors,Poor drainage
Coffee,Nursery Stage (Seed to Sapling),Seedling Stage,pest,types,Nematodes
Coffee,Nursery Stage (Seed to Sapling),Seedling Stage,pest,types,White grubs
Coffee,Nursery Stage (Seed to Sapling),Seedling Stage,pest,types,Root mealybugs
Coffee,Nursery Stage (Seed to Sapling),Seedling Stage,disease,types,Damping off
Coffee,Nursery Stage (Seed to Sapling),Seedling Stage,disease,types,Collar rot
Coffee,Nursery Stage (Seed to Sapling),Seedling Stage,pest,management,Use healthy planting material
Coffee,Nursery Stage (Seed to Sapling),Seedling Stage,pest,management,Soil treatment with biocontrol agents
Coffee,Nursery Stage (Seed to Sapling),Seedling Stage,pest,management,Maintain proper sanitation
Coffee,Nursery Stage (Seed to Sapling),Seedling Stage,disease,management,Ensure proper drainage
Coffee,Nursery Stage (Seed to Sapling),Seedling Stage,disease,management,Apply Trichoderma species
Coffee,Nursery Stage (Seed to Sapling),Seedling Stage,disease,management,Apply Bacillus subtilis
Coffee,Nursery Stage (Seed to Sapling),Seedling Stage,pest,factors,Infested soil
Coffee,Nursery Stage (Seed to Sapling),Seedling Stage,pest,factors,Poor sanitation
Coffee,Nursery Stage (Seed to Sapling),Seedling Stage,pest,factors,High humidity
Coffee,Nursery Stage (Seed to Sapling),Seedling Stage,disease,factors,High humidity
Coffee,Nursery Stage (Seed to Sapling),Seedling Stage,disease,factors,Dense nursery
Coffee,Establishment Phase,Young Plant Stage,pest,types,White stem borer
Coffee,Establishment Phase,Young Plant Stage,pest,types,Mealybugs
Coffee,Establishment Phase,Young Plant Stage,pest,types,Scale insects
Coffee,Establishment Phase,Young Plant Stage,pest,management,Maintain optimal shade
Coffee,Establishment Phase,Young Plant Stage,pest,management,Remove infested plants
Coffee,Establishment Phase,Young Plant Stage,pest,management,Install pheromone traps
Coffee,Establishment Phase,Young Plant Stage,pest,factors,High temperature
Coffee,Establishment Phase,Young Plant Stage,pest,factors,Low shade
Coffee,Establishment Phase,Young Plant Stage,pest,factors,Plant stress
Coffee,Blossoming Stage,Flowering Stage,pest,types,Mealybugs
Coffee,Blossoming Stage,Flowering Stage,pest,types,Green scale
Coffee,Blossoming Stage,Flowering Stage,disease,types,Black rot
Coffee,Blossoming Stage,Flowering Stage,disease,types,Anthracnose
Coffee,Blossoming Stage,Flowering Stage,pest,factors,High humidity
Coffee,Blossoming Stage,Flowering Stage,pest,factors,Weak plants
Coffee,Blossoming Stage,Flowering Stage,disease,factors,High humidity
Coffee,Blossoming Stage,Flowering Stage,disease,factors,Poor air circulation
Coffee,Berry Development Stage,Fruiting Stage,pest,types,Coffee berry borer
Coffee,Berry Development Stage,Fruiting Stage,disease,types,Coffee berry disease
Coffee,Berry Development Stage,Fruiting Stage,pest,management,Timely harvesting
Coffee,Berry Development Stage,Fruiting Stage,pest,management,Remove leftover berries
Coffee,Berry Development Stage,Fruiting Stage,pest,management,Apply Beauveria bassiana
Coffee,Berry Development Stage,Fruiting Stage,pest,factors,Leftover berries
Coffee,Berry Development Stage,Fruiting Stage,pest,factors,High humidity
Coffee,Berry Development Stage,Fruiting Stage,disease,factors,High humidity
Coffee,Berry Development Stage,Fruiting Stage,disease,factors,Frequent rainfall
Coffee,Harvesting Stage,Harvest Stage,disease,types,Berry blotch
Coffee,Harvesting Stage,Harvest Stage,disease,types,Fusarium wilt
Coffee,Harvesting Stage,Harvest Stage,disease,factors,Wounded bark
Coffee,Harvesting Stage,Harvest Stage,disease,factors,High humidity
Coconut,Seedling Stage (0-12 months),Early Seedling Stage,pest,types,Termites
Coconut,Seedling Stage (0-12 months),Early Seedling Stage,pest,types,White grubs
Coconut,Seedling Stage (0-12 months),Early Seedling Stage,disease,types,Bud rot
Coconut,Seedling Stage (0-12 months),Early Seedling Stage,disease,types,Leaf rot
Coconut,Seedling Stage (0-12 months),Early Seedling Stage,pest,management,Maintain field sanitation
Coconut,Seedling Stage (0-12 months),Early Seedling Stage,pest,management,Apply neem oil
Coconut,Seedling Stage (0-12 months),Early Seedling Stage,pest,management,Soil treatment with Chlorpyriphos
Coconut,Seedling Stage (0-12 months),Early Seedling Stage,disease,management,Ensure proper drainage
Coconut,Seedling Stage (0-12 months),Early Seedling Stage,disease,management,Apply Bordeaux mixture
Coconut,Seedling Stage (0-12 months),Early Seedling Stage,disease,management,Remove infected seedlings
Coconut,Seedling Stage (0-12 months),Early Seedling Stage,pest,factors,Moisture deficiency
Coconut,Seedling Stage (0-12 months),Early Seedling Stage,pest,factors,High temperature
Coconut,Seedling Stage (0-12 months),Early Seedling Stage,pest,factors,Poor sanitation
Coconut,Seedling Stage (0-12 months),Early Seedling Stage,disease,factors,High humidity
Coconut,Seedling Stage (0-12 months),Early Seedling Stage,disease,factors,Waterlogging
Coconut,Vegetative Stage (1-5 years),Juvenile Stage,pest,types,Rhinoceros beetle
Coconut,Vegetative Stage (1-5 years),Juvenile Stage,pest,types,Red palm weevil
Coconut,Vegetative Stage (1-5 years),Juvenile Stage,disease,types,Bud rot
Coconut,Vegetative Stage (1-5 years),Juvenile Stage,disease,types,Stem bleeding
Coconut,Vegetative Stage (1-5 years),Juvenile Stage,pest,management,Remove breeding sites
Coconut,Vegetative Stage (1-5 years),Juvenile Stage,pest,management,Use pheromone traps
Coconut,Vegetative Stage (1-5 years),Juvenile Stage,pest,management,Beetle hooking
Coconut,Vegetative Stage (1-5 years),Juvenile Stage,disease,management,Apply Bordeaux mixture
Coconut,Vegetative Stage (1-5 years),Juvenile Stage,disease,management,Improve drainage
Coconut,Vegetative Stage (1-5 years),Juvenile Stage,disease,management,Remove infected palms
Coconut,Vegetative Stage (1-5 years),Juvenile Stage,pest,factors,Mechanical injuries
Coconut,Vegetative Stage (1-5 years),Juvenile Stage,pest,factors,Decaying organic matter
Coconut,Vegetative Stage (1-5 years),Juvenile Stage,pest,factors,Improper field maintenance
Coconut,Vegetative Stage (1-5 years),Juvenile Stage,disease,factors,High humidity
Coconut,Vegetative Stage (1-5 years),Juvenile Stage,disease,factors,Poor drainage
Coconut,Flowering Stage (3-10 years),Bearing Stage,pest,types,Rhinoceros beetle
Coconut,Flowering Stage (3-10 years),Bearing Stage,pest,types,Red palm weevil
Coconut,Flowering Stage (3-10 years),Bearing Stage,pest,types,Black headed caterpillar
Coconut,Flowering Stage (3-10 years),Bearing Stage,pest,types,Eriophyid mite
Coconut,Flowering Stage (3-10 years),Bearing Stage,disease,types,Bud rot
Coconut,Flowering Stage (3-10 years),Bearing Stage,disease,types,Leaf rot
Coconut,Flowering Stage (3-10 years),Bearing Stage,disease,types,Stem bleeding
Coconut,Flowering Stage (3-10 years),Bearing Stage,pest,management,Apply neem based pesticides
Coconut,Flowering Stage (3-10 years),Bearing Stage,pest,management,Use pheromone traps
Coconut,Flowering Stage (3-10 years),Bearing Stage,pest,management,Remove affected leaves
Coconut,Flowering Stage (3-10 years),Bearing Stage,disease,management,Apply Bordeaux mixture
Coconut,Flowering Stage (3-10 years),Bearing Stage,disease,management,Improve drainage
Coconut,Flowering Stage (3-10 years),Bearing Stage,disease,management,Control pest vectors
Coconut,Flowering Stage (3-10 years),Bearing Stage,pest,factors,High temperature
Coconut,Flowering Stage (3-10 years),Bearing Stage,pest,factors,High humidity
Coconut,Flowering Stage (3-10 years),Bearing Stage,pest,factors,Improper irrigation
Coconut,Flowering Stage (3-10 years),Bearing Stage,disease,factors,Heavy rainfall
Coconut,Flowering Stage (3-10 years),Bearing Stage,disease,factors,Waterlogging
Coconut,Flowering Stage (3-10 years),Bearing Stage,disease,factors,Nutrient imbalance
Coconut,Fruit Development Stage,Nut Development Stage,pest,types,Eriophyid mite
Coconut,Fruit Development Stage,Nut Development Stage,pest,factors,High humidity
Coconut,Fruit Development Stage,Nut Development Stage,pest,factors,Moist conditions
Pepper,Germination Stage (0-3 weeks),Early Seedling Stage,pest,factors,High temperature
Pepper,Germination Stage (0-3 weeks),Early Seedling Stage,pest,factors,High humidity
Pepper,Germination Stage (0-3 weeks),Early Seedling Stage,pest,factors,Dry spells
Pepper,Germination Stage (0-3 weeks),Early Seedling Stage,pest,factors,Excess nitrogen usage
Pepper,Germination Stage (0-3 weeks),Early Seedling Stage,pest,factors,Presence of weeds
Pepper,Germination Stage (0-3 weeks),Early Seedling Stage,disease,factors,High soil moisture
Pepper,Germination Stage (0-3 weeks),Early Seedling Stage,disease,factors,Poor drainage
Pepper,Germination Stage (0-3 weeks),Early Seedling Stage,disease,factors,High humidity
Pepper,Seedling Stage (4-8 weeks),Young Plant Stage,pest,types,Aphids
Pepper,Seedling Stage (4-8 weeks),Young Plant Stage,pest,types,Cutworms
Pepper,Seedling Stage (4-8 weeks),Young Plant Stage,pest,types,Whiteflies
Pepper,Seedling Stage (4-8 weeks),Young Plant Stage,disease,types,Damping off
Pepper,Seedling Stage (4-8 weeks),Young Plant Stage,pest,management,Use insect proof nets
Pepper,Seedling Stage (4-8 weeks),Young Plant Stage,pest,management,Apply neem based pesticides
Pepper,Seedling Stage (4-8 weeks),Young Plant Stage,pest,management,Use sticky traps
Pepper,Seedling Stage (4-8 weeks),Young Plant Stage,disease,management,Seed treatment with Carbendazim
Pepper,Seedling Stage (4-8 weeks),Young Plant Stage,disease,management,Use raised beds
Pepper,Seedling Stage (4-8 weeks),Young Plant Stage,disease,management,Ensure proper drainage
Pepper,Seedling Stage (4-8 weeks),Young Plant Stage,pest,factors,High humidity
Pepper,Seedling Stage (4-8 weeks),Young Plant Stage,pest,factors,Weedy fields
Pepper,Seedling Stage (4-8 weeks),Young Plant Stage,disease,factors,High moisture
Pepper,Seedling Stage (4-8 weeks),Young Plant Stage,disease,factors,Waterlogging
Pepper,Vegetative Stage,Vegetative Growth Stage,pest,types,Thrips
Pepper,Vegetative Stage,Vegetative Growth Stage,pest,types,Mites
Pepper,Vegetative Stage,Vegetative Growth Stage,disease,types,Leaf curl virus
Pepper,Vegetative Stage,Vegetative Growth Stage,disease,types,Leaf spot
Pepper,Vegetative Stage,Vegetative Growth Stage,pest,management,Apply neem seed kernel extract
Pepper,Vegetative Stage,Vegetative Growth Stage,pest,management,Release predatory insects
Pepper,Vegetative Stage,Vegetative Growth Stage,pest,management,Use sticky traps
Pepper,Vegetative Stage,Vegetative Growth Stage,disease,management,Apply Trichoderma harzianum
Pepper,Vegetative Stage,Vegetative Growth Stage,disease,management,Crop rotation
Pepper,Vegetative Stage,Vegetative Growth Stage,disease,management,Remove infected plants
Pepper,Vegetative Stage,Vegetative Growth Stage,pest,factors,Dry weather
Pepper,Vegetative Stage,Vegetative Growth Stage,pest,factors,Nutrient imbalance
Pepper,Vegetative Stage,Vegetative Growth Stage,disease,factors,Insect vectors
Pepper,Vegetative Stage,Vegetative Growth Stage,disease,factors,High humidity
Pepper,Flowering Stage,Fruiting Stage,pest,types,Fruit borer
Pepper,Flowering Stage,Fruiting Stage,pest,types,Pepper maggot
Pepper,Flowering Stage,Fruiting Stage,disease,types,Phytophthora blight
Pepper,Flowering Stage,Fruiting Stage,disease,types,Powdery mildew
Pepper,Flowering Stage,Fruiting Stage,pest,management,Use pheromone traps
Pepper,Flowering Stage,Fruiting Stage,pest,management,Apply Spinosad
Pepper,Flowering Stage,Fruiting Stage,pest,management,Remove infested fruits
Pepper,Flowering Stage,Fruiting Stage,disease,management,Apply Metalaxyl mancozeb
Pepper,Flowering Stage,Fruiting Stage,disease,management,Use drip irrigation
Pepper,Flowering Stage,Fruiting Stage,disease,management,Ensure field sanitation
Pepper,Flowering Stage,Fruiting Stage,pest,factors,High humidity
Pepper,Flowering Stage,Fruiting Stage,pest,factors,Warm temperature
Pepper,Flowering Stage,Fruiting Stage,disease,factors,High moisture
Pepper,Flowering Stage,Fruiting Stage,disease,factors,Poor drainage
Pepper,Ripening Stage,Harvest Stage,disease,types,Anthracnose
Pepper,Ripening Stage,Harvest Stage,disease,types,Bacterial rot
Pepper,Ripening Stage,Harvest Stage,disease,factors,High humidity
Pepper,Ripening Stage,Harvest Stage,disease,factors,Overripe fruits
